zone_id,pixel_count_masked_utm4_hi_hawaii_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_4.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_5.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_6.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_7.tif_3x3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_8.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_3.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_0.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_1.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_2.tif_3x3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_3.tif_3x3.tif
53,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,64303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,308386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,105530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,72179,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,1505,0,0,10293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,10814,8011,0,13637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,156562,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,792178,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,134738,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,2790558,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,14577,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,83540,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,472971,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69760,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201126,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195992,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50761,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192643,210669,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599903,0,130858
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8523,0,0
77,0,0,0,202962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,136520,0,0,54045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,76695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,8849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,25772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,158820,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,14087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,447978,123069,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,74942,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,6,0,0,768,14722,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,451,160690,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,20440,861047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
