zone_id,pixel_count_masked_utm4_hi_hawaii_2021_ccap_0.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_1.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_2.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_3.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_4.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_5.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_6.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_7.tif,pixel_count_masked_utm4_hi_hawaii_2021_ccap_8.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_0.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_1.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_2.tif,pixel_count_masked_utm4_hi_honolulu_2021_ccap_3.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_0.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_1.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_2.tif,pixel_count_masked_utm4_hi_kauai_2021_ccap_3.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_0.tif,pixel_count_masked_utm4_hi_maui_2021_ccap_3.tif
63,0,0,0,0,0,0,0,0,0,4566104,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,777353,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,16072892,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,84375,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,481254,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,2723814,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403087,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158438,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108439,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754500
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,1170200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,787912,0,0,312312,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,442404,0,0,0,0,0,0,0,0,0,0,0,0
80,50892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,148174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,914652,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,80933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,2579008,709226,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,431026,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,38,0,0,4463,84558,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,2553,924528,0,0,44,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,117494,4961857,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,253466,1603,0,459332,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175463,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5510442,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3098649,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027742
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323945
97,0,0,0,927680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,7303217,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,119359,0,0,726144,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,4157387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,506773,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,250117,999616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,233890,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,532758,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,853,870315,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,8112,7509,0,0,1599583,0,0,0,0,0,0,0,0,0,0
